,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
3351,,,"Letter to the Editor regarding ""Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes diagnosed after metformin-triggered stroke-like episodes""",J Stroke Cerebrovasc Dis. 2023 Jun;32(6):107094. doi: 10.1016/j.jstrokecerebrovasdis.2023.107094. Epub 2023 Apr 20.,37085391,10.1016/j.jstrokecerebrovasdis.2023.107094,,,Abstract,Invalid,No MA in COI_Metformin_Triggered stroke-like episodes,,,No error,,,,Austria,,Metformin,Triggered stroke-like episodes,,,,,,
3352,,,Vitamin C supplementation modulates crude oil contaminated water induced gravid uterine impaired contractile mechanism and foetal outcomes in Wistar rats,J Complement Integr Med. 2023 Jun 12. doi: 10.1515/jcim-2023-0081. Online ahead of print.,37300330,10.1515/jcim-2023-0081,,,Abstract,Invalid,Animal/invitro study_Vitamin C_DEDP,,,No error,,,,Nigeria,,Vitamin C,DEDP,,,,,,
3353,,,The association of dietary intake of riboflavin and thiamine with kidney stone: a cross-sectional survey of NHANES 2007-2018,BMC Public Health. 2023 May 26;23(1):964. doi: 10.1186/s12889-023-15817-2.,37237348,10.1186/s12889-023-15817-2,,,Full Text,Rejected,No safety information,,,No error ,,,,United States,,,,,,,,,
3354,,,"Effects of Extraction and Evaporation Methods on Physico-Chemical, Functional, and Nutritional Properties of Syrups from Barhi Dates (Phoenix dactylifera L.)",Foods. 2023 Mar 16;12(6):1268. doi: 10.3390/foods12061268.,36981193,10.3390/foods12061268,,,Abstract ,Rejected,environmental study_no safety information,,,No Error,,,,Thailand,,,,,,,,,
3355,,,Blue Nail Discoloration: Literature Review and Diagnostic Algorithms,Am J Clin Dermatol. 2023 May;24(3):419-441. doi: 10.1007/s40257-023-00768-6. Epub 2023 Mar 27.,36971947,10.1007/s40257-023-00768-6,,,Abstract,Invalid,No MA in COI_Minocycline_Polydactylic blue discoloration,,,No error,,,,United states,,Minocycline,Polydactylic blue discoloration,,,,,,
3356,,,Anti-inflammatory medication use associated with reduced delirium risk and all-cause mortality: A retrospective cohort study,J Psychosom Res. 2023 May;168:111212. doi: 10.1016/j.jpsychores.2023.111212. Epub 2023 Mar 12.,36963165,10.1016/j.jpsychores.2023.111212,,,Abstract,Rejected,No safety information,,,No Error,,,,United states,,,,,,,,,
3357,,,Comparison of clopidogrel and ticagrelor for the dual antiplatelet therapy of patients with unruptured cerebral aneurysms undergoing endovascular treatment,World Neurosurg. 2023 Jun 22:S1878-8750(23)00832-X. doi: 10.1016/j.wneu.2023.06.063. Online ahead of print.,37355167,10.1016/j.wneu.2023.06.063,,,Abstract,Invalid,"No MA in COI_Clopidogrel,Aspirin_thrombotic , bleeding and hemorrhagic complications",,,No error ,,,,Colombia,,"Clopidogrel,Aspirin","Thrombotic, bleeding and hemorrhagic complications",,,,,,
3358,,,Alpha-lipoic acid attenuates heat stress-induced apoptosis via upregulating the heat shock response in porcine parthenotes,Sci Rep. 2023 May 24;13(1):8427. doi: 10.1038/s41598-023-35587-6.,37225872,10.1038/s41598-023-35587-6,,,Abstract ,Rejected,No safety information_Animal study,,,No Error,,,,South Korea,,,,,,,,,
3359,,,Ellagitannin Punicalagin Disrupts the Pathways Related to Bacterial Growth and Affects Multiple Pattern Recognition Receptor Signaling by Acting as a Selective Histone Deacetylase Inhibitor,J Agric Food Chem. 2023 Mar 29;71(12):5016-5026. doi: 10.1021/acs.jafc.2c08738. Epub 2023 Mar 14.,36917202,10.1021/acs.jafc.2c08738,,,Abstract,Rejected,No safety information_In silico study,,,No error,,,,China,,,,,,,,,
3360,,,Interaction between OCT1 and LPIN1 polymorphisms and response to pioglitazone-metformin tablets in patients with polycystic ovary syndrome,Chin Med J (Engl). 2023 May 26. doi: 10.1097/CM9.0000000000002322. Online ahead of print.,37232475,10.1097/CM9.0000000000002322,,,Full text,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
3361,,,Efficacy and safety profile of angiotensin receptor neprilysin inhibitors in the management of heart failure: a systematic review and meta-analysis of randomized controlled trials,Heart Fail Rev. 2023 Jul;28(4):905-923. doi: 10.1007/s10741-022-10273-3. Epub 2022 Oct 3.,36184714,10.1007/s10741-022-10273-3,,,Full text,Invalid,"No patient product event correlation_Valsartan_Symptomatic hypotension,Worsening renal function,Hyperkalaemia and Angioedema",,,No error,,,,China,,Valsartan,"Symptomatic hypotension,Worsening renal function,Hyperkalaemia and Angioedema",,,,,,
3362,,,Impending central retinal vein occlusion and granulomatous uveitis in a patient with Satoyoshi syndrome,Medicine (Baltimore). 2023 Mar 17;102(11):e33284. doi: 10.1097/MD.0000000000033284.,36930111,10.1097/MD.0000000000033284,,,Full Text,Rejected,No safety information,,,No error ,,,,Japan,,,,,,,,,
3363,,,"Epileptic Status in a PEDiatric cohort (ESPED) requiring intensive care treatment: A multicenter, national, two-year prospective surveillance study",Epilepsia Open. 2023 Jun;8(2):411-424. doi: 10.1002/epi4.12707. Epub 2023 Feb 20.,36764666,10.1002/epi4.12707,,,Full text,Invalid,Multicenter Study/No MA in COI_Sodium valproate_Encephalopathy,,,No Error,,,,Germany,,Sodium valproate,Encephalopathy,,,,,,
3364,,,Macrophage activation syndrome triggered by methotrexate-related lymphoproliferative disease in a patient with rheumatoid arthritis,Immunol Med. 2023 May 18:1-5. doi: 10.1080/25785826.2023.2212808. Online ahead of print.,37199221,10.1080/25785826.2023.2212808,,,Full Text,Invalid,No MA in COI_Methotrexate-related lymphoproliferative disorder,,,No Error,,,,Japan,,Methotrexate,Methotrexate-related lymphoproliferative disorder,,,,,,
3365,,,Re-analysis of ventilator-free days (VFD) in acute respiratory distress syndrome (ARDS) studies,Trials. 2023 Mar 13;24(1):183. doi: 10.1186/s13063-023-07190-7.,36907882,10.1186/s13063-023-07190-7,,,Full Text,Rejected,No safety information,,,No error ,,,,United kingdom,,,,,,,,,
3366,,,Multicenter Comparison of the Safety and Efficacy of Clopidogrel Versus Ticagrelor for Neuroendovascular Stents,Neurocrit Care. 2023 Jun 15. doi: 10.1007/s12028-023-01749-7. Online ahead of print.,37322326,10.1007/s12028-023-01749-7,,,Abstract,Invalid,"No MA in COI_aspirin, clopidogrel_Major and minor bleeding, death",,,No error,,,,United states,,"Aspirin, clopidogrel","Major and minor bleeding, death",,,,,,
3367,,,Association between perioperative management of antiplatelet agents and risk of post-endoscopic submucosal dissection bleeding in early gastric cancer: analysis of a nationwide multicenter study,Gastrointest Endosc. 2023 May;97(5):889-897. doi: 10.1016/j.gie.2022.12.025. Epub 2023 Jan 11.,36639059,10.1016/j.gie.2022.12.025,,,Full text,Invalid,No MA in COI_Aspirin_bleeding,,,No error,,,,Japan,,Aspirin,Bleeding,,,,,,
3368,,,The hops (Humulus lupulus) genome contains a mid-sized terpene synthase family that shows wide functional and allelic diversity,BMC Plant Biol. 2023 May 26;23(1):280. doi: 10.1186/s12870-023-04283-y.,37231379,10.1186/s12870-023-04283-y,,,Abstract,Rejected,No safety information_plant study,,,No error,,,,New Zealand,,,,,,,,,
3369,,,"Prevalence and Characterization of Salmonella Isolated from Chickens in Anhui, China",Pathogens. 2023 Mar 16;12(3):465. doi: 10.3390/pathogens12030465.,36986387,10.3390/pathogens12030465,,,Abstract,Rejected,No safety information_Invitro/Animal study,,,No Error,,,,China,,,,,,,,,
3370,,,Polyethylene glycol combined with lactulose has better efficacy than polyethylene glycol alone in bowel preparation before colonoscopy: A meta-analysis,Chemosphere. 2023 Jul;328:138570. doi: 10.1016/j.chemosphere.2023.138570. Epub 2023 Apr 3.,37019039,10.1016/j.clinsp.2023.100172,,,Full Text,Invalid,"No MA in COI_Lactulose_Abdominal pain, nausea, vomiting",,,No error ,,,,China,,Lactulose,"Abdominal pain, nausea, vomiting",,,,,,
3371,,,The Impact of Sedative Choice on Intracranial and Systemic Physiology in Moderate to Severe Traumatic Brain Injury: A Scoping Review,J Neurosurg Anesthesiol. 2023 Jul 1;35(3):265-273. doi: 10.1097/ANA.0000000000000836. Epub 2022 Feb 10.,35142704,10.1097/ANA.0000000000000836,,,full text,Invalid,Review article_Increased intra cranial pressure_fentanyl,,,No error,,,,Australia,,fentanyl,Increased intra cranial pressure,,,,,,
3372,,,"Lithium and brine geochemistry in the Qianjiang Formation of the Jianghan Basin, central China",Sci Rep. 2023 Mar 17;13(1):4445. doi: 10.1038/s41598-023-31421-1.,36932287,10.1038/s41598-023-31421-1,,,Full text,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
3373,,,Topiramate for Weight Management in Children With Severe Obesity,Child Obes. 2023 Jun;19(4):219-225. doi: 10.1089/chi.2022.0062. Epub 2022 Jun 29.,35767803,10.1089/chi.2022.0062,,,Abstract,Invalid,No MA in COI_Topiramate_Drowsiness ,,,No error,,,,United states,,Topiramate,Drowsiness ,,,,,,
3374,,,Strategical development of chrome-free tanning agent by integrating layered double hydroxide with starch derivatives,Carbohydr Polym. 2023 Mar 15;304:120511. doi: 10.1016/j.carbpol.2022.120511. Epub 2022 Dec 29.,36641159,10.1016/j.carbpol.2022.120511,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
3375,,,Amiodarone-Induced Nystagmus and Ataxia: Case Report and Systematic Review of Case Reports,J Clin Pharmacol. 2023 Aug 12. doi: 10.1002/jcph.2330. Online ahead of print.,37571970,10.1002/jcph.2330,,,Abstract ,Invalid,Systematic review_Amiodarone_Nystagmus and Ataxia,,,No error,,,,India,,Amiodarone,Nystagmus and Ataxia,,,,,,
3376,,,"Evaluation of hemolysis, lipemia, and icterus interference with common clinical immunoassays",Clin Chem Lab Med. 2023 Jan 13;61(6):1035-1045. doi: 10.1515/cclm-2022-0924. Print 2023 May 25.,36635939,10.1515/cclm-2022-0924,,,Abstract ,Rejected,No safety information,,,No error,,,,Canada,,,,,,,,,
3377,,,Diffusion of phenolic compounds during a model maceration in winemaking: role of flesh and seeds,J Sci Food Agric. 2023 Mar 15;103(4):2004-2013. doi: 10.1002/jsfa.12331. Epub 2022 Nov 24.,36369961,10.1002/jsfa.12331,,,Abstract,Rejected,No safety information,,,No Error,,,,France,,,,,,,,,
3378,,,Disproportionality analysis of acetaminophen-induced hepatic disorders with and without immune checkpoint inhibitors,Int J Clin Pharm. 2023 Apr;45(2):442-450. doi: 10.1007/s11096-022-01527-z. Epub 2023 Jan 6.,36609809,10.1007/s11096-022-01527-z,,,Abstract,Invalid,No MA in COI_acetaminophen_Hepatic disorders,,,No error,,,,Japan,,Acetaminophen,hepatic disorders,,,,,,
3379,,,Assessment of CD200R Activation in Combination with Doxycycline in a Model of Melioidosis,Microbiol Spectr. 2023 May 18:e0401622. doi: 10.1128/spectrum.04016-22. Online ahead of print.,37199641,10.1128/spectrum.04016-22,,,Abstract,Rejected,No safety information_In vivo study,,,No error ,,,,United Kingdom,,,,,,,,,
3380,,,Clearance of Mycoplasma ovipneumoniae in Captive Bighorn Sheep (Ovis canadensis) Following Extended Oral Doxycycline Treatment,J Wildl Dis. 2023 Aug 14. doi: 10.7589/JWD-D-22-00094. Online ahead of print.,37578752,10.7589/JWD-D-22-00094,,,Abstract,Invalid,Animal study_Doxycycline_AE NOS,,,No error,,,,United States,,Doxycycline,AE NOS,,,,,,
3381,,,"National Trends in Pediatric Deaths From Fentanyl, 1999-2021",JAMA Pediatr. 2023 Jul 1;177(7):733-735. doi: 10.1001/jamapediatrics.2023.0793.,37155161,10.1001/jamapediatrics.2023.0793,,,Full text,Invalid,"No MA in COI_Fentanyl_Fentanyl poisoning, death",,,No error,,,,United states,,Fentanyl,"Fentanyl poisoning, death",,,,,,
3382,,,Van Wyk Grumbach Syndrome and Ovarian Hyperstimulation in Juvenile Primary Hypothyroidism: Lessons From a 30-Case Cohort,J Endocr Soc. 2023 May 15;7(6):bvad042. doi: 10.1210/jendso/bvad042. eCollection 2023 May 5.,37197410,10.1210/jendso/bvad042,,,Full Text,Rejected,No safety information,,,No Error,,,,India,,,,,,,,,
3383,,,Pharmacological memory modulation to augment trauma-focused psychotherapy for PTSD: a systematic review of randomised controlled trials,Transl Psychiatry. 2023 Jun 15;13(1):207. doi: 10.1038/s41398-023-02495-2.,37321998,10.1038/s41398-023-02495-2,,,Full text,Invalid,Systemic review_Adverse events(NOS)_propranolol,,,No error,,,,Switzerland,,propranolol,Adverse events(NOS),,,,,,
3384,,,High- vs. low-dose diclofenac and cardiovascular risks: a target trial emulation,Eur Heart J Cardiovasc Pharmacother. 2023 Mar 15:pvad018. doi: 10.1093/ehjcvp/pvad018. Online ahead of print.,36921986,10.1093/ehjcvp/pvad018,,,Abstract,Invalid,No Patient identifiers_Diclofenac_Major adverse cardiovascular events,,,No error ,,,,Denmark,,Diclofenac,Major adverse cardiovascular events,,,,,,
3385,,,Effect of phosphoproteins on intracellular calcification of bacteria,Eur J Oral Sci. 2023 Jun;131(3):e12929. doi: 10.1111/eos.12929. Epub 2023 Mar 17.,36929523,10.1111/eos.12929,,,Abstract,Rejected,No safety informtion_Invitro study,,,No error,,,,Japan,,,,,,,,,
3386,,,Investigating anti-inflammatory and immunomodulatory properties of brivaracetam and lacosamide in experimental autoimmune encephalomyelitis (EAE),Epilepsy Res. 2023 May;192:107125. doi: 10.1016/j.eplepsyres.2023.107125. Epub 2023 Mar 15.,36963302,10.1016/j.eplepsyres.2023.107125,,,Abstract,Rejected,No safety information_Animal/Invitro/Invivo study.,,,No error ,,,,Canada,,,,,,,,,
3387,,,Monitoring influenza and respiratory syncytial virus in wastewater. Beyond COVID-19,Sci Total Environ. 2023 May 26:164495. doi: 10.1016/j.scitotenv.2023.164495. Online ahead of print.,37245831,10.1016/j.scitotenv.2023.164495,,,Abstract ,Rejected,"No safety information_Environmental Study, In Vitro Study",,,No error ,,,,Spain,,,,,,,,,
3388,,,Apple juice relieves loperamide-induced constipation in rats by downregulating the intestinal apical sodium-dependent bile acid transporter ASBT,Food Funct. 2023 May 22;14(10):4836-4846. doi: 10.1039/d3fo00510k.,37129213,10.1039/d3fo00510k,,,Abstract,Rejected,No safety information_Animal study/Invivo study ,,,No error ,,,,Japan,,,,,,,,,
3389,,,"Bioaccessibility and Cellular Uptake of Lutein, Zeaxanthin and Ferulic Acid from Muffins and Breads Made from Hairless Canary Seed, Wheat and Corn Blends",Foods. 2023 Mar 19;12(6):1307. doi: 10.3390/foods12061307.,36981233,10.3390/foods12061307,,,Abstract ,Rejected,Invitro study_no safety information,,,No Error,,,,Canada,,,,,,,,,
3390,,,Radiation recall dermatitis induced by ibuprofen,An Bras Dermatol. 2023 Mar 24:S0365-0596(23)00059-4. doi: 10.1016/j.abd.2021.08.017. Online ahead of print.,36967273,10.1016/j.abd.2021.08.017,,,Full Text,Invalid,No MA in COI_Ibuprofen_Radiation recall Dermatitis,,,No error,,,,China,,Ibuprofen,Radiation recall Dermatitis,,,,,,
3391,,,In situ construction of Fe(3)O(4)@PDA@Au multi hotspot SERS probe for trace detection of benzodiazepines in serum,Spectrochim Acta A Mol Biomol Spectrosc. 2023 May 21;300:122897. doi: 10.1016/j.saa.2023.122897. Online ahead of print.,37229942,10.1016/j.saa.2023.122897,,,Abstract,Rejected,In-Vitro_No safety information,,,No error,,,,China,,,,,,,,,
3392,,,"A Second Look at the Risks of Serious Adverse Events with Orthopaedic Manual Therapy, Paracetamol, and NSAID Treatment of Neck Pain",J Orthop Sports Phys Ther. 2023 Jun;0(6):1-2. doi: 10.2519/jospt.2023.0202.,37213098,10.2519/jospt.2023.0202,,,Abstract ,Invalid,No MA in COI_Paracetamol_Adverse events NOS,,,No error ,,,,Australia,,Paracetamol,Adverse event NOS,,,,,,
3393,,,Bismuth-rich oxyhalide (Bi(7)O(9)I(3)-Bi(4)O(5)Br(2)) solid-solution photocatalysts for the degradation of phenolic compounds under visible light,J Colloid Interface Sci. 2023 Jul;641:595-609. doi: 10.1016/j.jcis.2023.03.063. Epub 2023 Mar 14.,36963253,10.1016/j.jcis.2023.03.063,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,Thailand,,,,,,,,,
3394,,,Astragaloside IV attenuates high glucose-induced NF-?B-mediated inflammation through activation of PI3K/AKT-ERK-dependent Nrf2/ARE signaling pathway in glomerular mesangial cells,Phytother Res. 2023 May 15. doi: 10.1002/ptr.7875. Online ahead of print.,37189016,10.1002/ptr.7875,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
3395,,,Sex Differences in Midterm Prognostic Implications of High Platelet Reactivity After Percutaneous Coronary Intervention With Drug-Eluting Stents in East Asian Patients: Results From the PTRG-DES (Platelet Function and Genotype-Related Long-Term Prognosis in Drug-Eluting Stent-Treated Patients With Coronary Artery Disease) Consortium,J Am Heart Assoc. 2023 May 2;12(9):e027804. doi: 10.1161/JAHA.122.027804. Epub 2023 Apr 29.,37119080,10.1161/JAHA.122.027804,,,Full Text,Invalid,No MA in COI_Clopidogrel_Cardiac and Cerebrovascular events and Mortality,,,No error,,,,South Korea,,Clopidogrel,Cardiac and Cerebrovascular events and Mortality,,,,,,
3396,,,Systematic Review and Meta-Analysis of Oral Anticoagulant Therapy in Atrial Fibrillation Cancer Patients,Cancers (Basel). 2023 Apr 30;15(9):2574. doi: 10.3390/cancers15092574.,37174043,10.3390/cancers15092574,,,Full Text,Invalid,Meta-analysis/Systematic review article_Major bleeding_warfarin,,,No error,,,,Italy,,Warfarin,Major bleeding,,,,,,
3397,,,In vitro evaluation of anticoagulant therapy management when urgent percutaneous coronary intervention is required in rivaroxaban-treated patients,Naunyn Schmiedebergs Arch Pharmacol. 2023 May 20. doi: 10.1007/s00210-023-02533-2. Online ahead of print.,37209152,10.1007/s00210-023-02533-2,,,Abstract,Rejected,No Safety information_In vitro study,,,No error ,,,,Turkey,,,,,,,,,
3398,,,Infant mortality and growth failure after oral azithromycin among low birthweight and underweight neonates: A subgroup analysis of a randomized controlled trial,PLOS Glob Public Health. 2023 May 15;3(5):e0001009. doi: 10.1371/journal.pgph.0001009. eCollection 2023.,37186577,10.1371/journal.pgph.0001009,,,Full text,Rejected,No safety information,,,No error ,,,,Burkina Faso,,,,,,,,,
